# FINAL ESTIMATION PANEL v2 — Panoptic upsilon identification (phase 10, plan 10-10).
# One row per POSITION-EPOCH (tokenId x hourly epoch) — the spec section-1 unit of
# observation, restored by plan 10-09. Supersedes estimation-panel.csv, which is the
# Phase-9 accrual-SPELL export and is retained unchanged.
# git commit: ddf649e
# LHS source : notes/structural-econometrcics/data/panel-epoch.csv
# RHS source : notes/structural-econometrcics/data/variance-hourly.csv (joined on epoch, exact integer match)
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : hourly index floor(unixSeconds/3600) — the epoch the premium ACCRUED in
# pi       : premium accrued to the SHORT side over the epoch, ETH (a FLOW, not a stock)
# sigma2   : realized variance of the epoch, from the joined variance series
# sigma2_instrument : disjoint even-swap sub-window RV of the same epoch (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = the epoch's mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494003,2.85613174e-10,7.099290065077423e-7,1.0298970094408084e-6,335.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494004,7.1270384e-11,2.099790019248251e-7,1.899810017415084e-7,333.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494005,9.6109412e-11,6.099390055911587e-7,8.499150077909589e-7,312.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494006,3.26819426e-10,1.7298270158568924e-6,2.389761021906343e-6,305.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494007,4.35762216e-10,3.5396460324449215e-6,4.929507045182584e-6,260.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494008,4.87161508e-10,1.5498450142013594e-6,1.9298070176801125e-6,237.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494009,6.56303112e-10,4.459554040876774e-6,7.01929806433917e-6,197.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494010,4.08594964e-10,1.2998700119155846e-6,1.4798520135654344e-6,172.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494011,5.18618962e-10,1.879812017231769e-6,2.3197680212647356e-6,178.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494012,3.453586208e-9,2.35776422161018e-5,2.9507049270444577e-5,249.0
