# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
493565,45022327,1776834001
493566,45024127,1776837601
493567,45025927,1776841201
493568,45027727,1776844801
493569,45029527,1776848401
493570,45031327,1776852001
493571,45033127,1776855601
493572,45034927,1776859201
493573,45036727,1776862801
493574,45038527,1776866401
493575,45040327,1776870001
493576,45042127,1776873601
493577,45043927,1776877201
493578,45045727,1776880801
493579,45047527,1776884401
493580,45049327,1776888001
493581,45051127,1776891601
493582,45052927,1776895201
493583,45054727,1776898801
493584,45056527,1776902401
493585,45058327,1776906001
493586,45060127,1776909601
493587,45061927,1776913201
493588,45063727,1776916801
493589,45065527,1776920401
493590,45067327,1776924001
493591,45069127,1776927601
493592,45070927,1776931201
493593,45072727,1776934801
493594,45074527,1776938401
493595,45076327,1776942001
493596,45078127,1776945601
493597,45079927,1776949201
493598,45081727,1776952801
493599,45083527,1776956401
493600,45085327,1776960001
493601,45087127,1776963601
493602,45088927,1776967201
493603,45090727,1776970801
493604,45092527,1776974401
493605,45094327,1776978001
493606,45096127,1776981601
493607,45097927,1776985201
493608,45099727,1776988801
493609,45101527,1776992401
493610,45103327,1776996001
493611,45105127,1776999601
493612,45106927,1777003201
493613,45108727,1777006801
493614,45110527,1777010401
493615,45112327,1777014001
493616,45114127,1777017601
493617,45115927,1777021201
493618,45117727,1777024801
493619,45119527,1777028401
493620,45121327,1777032001
493621,45123127,1777035601
493622,45124927,1777039201
493623,45126727,1777042801
493624,45128527,1777046401
493625,45130327,1777050001
493626,45132127,1777053601
493627,45133927,1777057201
493628,45135727,1777060801
493629,45137527,1777064401
493630,45139327,1777068001
493631,45141127,1777071601
493632,45142927,1777075201
493633,45144727,1777078801
493634,45146527,1777082401
493635,45148327,1777086001
493636,45150127,1777089601
493637,45151927,1777093201
493638,45153727,1777096801
493639,45155527,1777100401
493640,45157327,1777104001
493641,45159127,1777107601
493642,45160927,1777111201
493643,45162727,1777114801
493644,45164527,1777118401
493645,45166327,1777122001
493646,45168127,1777125601
493647,45169927,1777129201
493648,45171727,1777132801
493649,45173527,1777136401
493650,45175327,1777140001
493651,45177127,1777143601
493652,45178927,1777147201
493653,45180727,1777150801
493654,45182527,1777154401
493655,45184327,1777158001
493656,45186127,1777161601
493657,45187927,1777165201
493658,45189727,1777168801
493659,45191527,1777172401
493660,45193327,1777176001
493661,45195127,1777179601
493662,45196927,1777183201
493663,45198727,1777186801
493664,45200527,1777190401
493665,45202327,1777194001
493666,45204127,1777197601
493667,45205927,1777201201
493668,45207727,1777204801
493669,45209527,1777208401
493670,45211327,1777212001
493671,45213127,1777215601
493672,45214927,1777219201
493673,45216727,1777222801
493674,45218527,1777226401
493675,45220327,1777230001
493676,45222127,1777233601
493677,45223927,1777237201
493678,45225727,1777240801
493679,45227527,1777244401
493680,45229327,1777248001
493681,45231127,1777251601
493682,45232927,1777255201
493683,45234727,1777258801
493684,45236527,1777262401
493685,45238327,1777266001
493686,45240127,1777269601
493687,45241927,1777273201
493688,45243727,1777276801
493689,45245527,1777280401
493690,45247327,1777284001
493691,45249127,1777287601
493692,45250927,1777291201
493693,45252727,1777294801
493694,45254527,1777298401
493695,45256327,1777302001
493696,45258127,1777305601
493697,45259927,1777309201
493698,45261727,1777312801
493699,45263527,1777316401
493700,45265327,1777320001
493701,45267127,1777323601
493702,45268927,1777327201
493703,45270727,1777330801
493704,45272527,1777334401
493705,45274327,1777338001
493706,45276127,1777341601
493707,45277927,1777345201
493708,45279727,1777348801
493709,45281527,1777352401
493710,45283327,1777356001
493711,45285127,1777359601
493712,45286927,1777363201
493713,45288727,1777366801
493714,45290527,1777370401
493715,45292327,1777374001
493716,45294127,1777377601
493717,45295927,1777381201
493718,45297727,1777384801
493719,45299527,1777388401
493720,45301327,1777392001
493721,45303127,1777395601
493722,45304927,1777399201
493723,45306727,1777402801
493724,45308527,1777406401
493725,45310327,1777410001
493726,45312127,1777413601
493727,45313927,1777417201
493728,45315727,1777420801
493729,45317527,1777424401
493730,45319327,1777428001
493731,45321127,1777431601
493732,45322927,1777435201
493733,45324727,1777438801
493734,45326527,1777442401
493735,45328327,1777446001
493736,45330127,1777449601
493737,45331927,1777453201
493738,45333727,1777456801
493739,45335527,1777460401
493740,45337327,1777464001
493741,45339127,1777467601
493742,45340927,1777471201
493743,45342727,1777474801
493744,45344527,1777478401
493745,45346327,1777482001
493746,45348127,1777485601
493747,45349927,1777489201
493748,45351727,1777492801
493749,45353527,1777496401
493750,45355327,1777500001
493751,45357127,1777503601
493752,45358927,1777507201
493753,45360727,1777510801
493754,45362527,1777514401
493755,45364327,1777518001
493756,45366127,1777521601
493757,45367927,1777525201
493758,45369727,1777528801
493759,45371527,1777532401
493760,45373327,1777536001
493761,45375127,1777539601
493762,45376927,1777543201
493763,45378727,1777546801
493764,45380527,1777550401
493765,45382327,1777554001
493766,45384127,1777557601
493767,45385927,1777561201
493768,45387727,1777564801
493769,45389527,1777568401
493770,45391327,1777572001
493771,45393127,1777575601
493772,45394927,1777579201
493773,45396727,1777582801
493774,45398527,1777586401
493775,45400327,1777590001
493776,45402127,1777593601
493777,45403927,1777597201
493778,45405727,1777600801
493779,45407527,1777604401
493780,45409327,1777608001
493781,45411127,1777611601
493782,45412927,1777615201
493783,45414727,1777618801
493784,45416527,1777622401
493785,45418327,1777626001
493786,45420127,1777629601
493787,45421927,1777633201
493788,45423727,1777636801
493789,45425527,1777640401
493790,45427327,1777644001
493791,45429127,1777647601
493792,45430927,1777651201
493793,45432727,1777654801
493794,45434527,1777658401
493795,45436327,1777662001
493796,45438127,1777665601
493797,45439927,1777669201
493798,45441727,1777672801
493799,45443527,1777676401
493800,45445327,1777680001
493801,45447127,1777683601
493802,45448927,1777687201
493803,45450727,1777690801
493804,45452527,1777694401
493805,45454327,1777698001
493806,45456127,1777701601
493807,45457927,1777705201
493808,45459727,1777708801
493809,45461527,1777712401
493810,45463327,1777716001
493811,45465127,1777719601
493812,45466927,1777723201
493813,45468727,1777726801
493814,45470527,1777730401
493815,45472327,1777734001
493816,45474127,1777737601
493817,45475927,1777741201
493818,45477727,1777744801
493819,45479527,1777748401
493820,45481327,1777752001
493821,45483127,1777755601
493822,45484927,1777759201
