# Panoptic υ variance regressor σ̂²_t, EIV instrument σ̃²_t, pool tick i_t (CTX-VAR)
# EPOCH WIDTH: 3600 seconds (1.0 hour(s)).
#   epoch = floor(unixSeconds / 3600) via
#   Panel.Build.epochOfSeconds — the SAME single source of truth as
#   Panel.Build.dailyEpoch (which is epochOfSeconds 86400). The panel and
#   this series therefore share an exact INTEGER epoch key; the join is an
#   integer match and never a timestamp comparison or an offset adjustment
#   (the 09-05 40587-offset trap).
# σ̂²_t (sigma2)            = realized variance of the within-epoch V4
#   tick-implied log-price increments over the FULL within-epoch Swap series.
# σ̃²_t (sigma2_instrument) = the SAME estimator on the DISJOINT even-swap
#   sub-window (0-based even positions) — the two-noisy-measures IV.
# i_t (pool_tick_mean)     = mean underlying pool tick over the same epoch,
#   from the SAME Swap series (the panel's moneyness anchor).
# n_swaps                  = swaps in the epoch. σ̂² rests on n_swaps − 1
#   increments; a row with n_swaps <= 1 is a CONSTRUCTED zero, not a
#   measured one, and must not be read as a quiet market.
# Source: Uniswap V4 PoolManager Swap logs on Base via chunked eth_getLogs
#   (poolId 0x96d4…288c0a); BigQuery path retired (project suspended).
epoch,sigma2,sigma2_instrument,pool_tick_mean,n_swaps
493059,9.539046087442019e-6,1.4178582129971515e-5,-199830.0057142857,175
493060,7.459254068377101e-6,1.0358964094958031e-5,-199790.03546099292,141
493061,2.5897410237368737e-5,2.8557144261749876e-5,-199718.13580246913,243
493062,2.041795818716343e-5,2.757724225278939e-5,-199629.88732394367,284
493063,1.2418758113838205e-5,1.4508549132994108e-5,-199619.64516129033,186
493064,1.1258874103198746e-5,1.5338466140588248e-5,-199664.51412429378,177
493065,6.699330061395442e-6,1.0718928098234285e-5,-199669.43575418994,179
493066,3.969603036381963e-6,5.669433051958906e-6,-199675.9363057325,157
493067,1.3398660122820014e-5,1.3518648123922061e-5,-199659.765,200
493068,3.0126987276124595e-5,4.079592037390918e-5,-199672.6386554622,238
493069,2.961703827147838e-5,4.491550841171076e-5,-199720.8073654391,353
493070,6.410358958762177e-4,3.9486051361958726e-4,-199724.0988764045,445
493071,8.969103082205434e-6,1.4528547133157527e-5,-199682.90497737555,221
493072,1.76482351617684e-5,2.432756722298837e-5,-199647.1285140562,249
493073,5.7884211530610184e-5,7.294270566864756e-5,-199594.54934210525,304
493074,9.319068085412754e-6,1.2868713117947927e-5,-199683.81092436975,238
493075,9.309069085327498e-6,1.3448655123266251e-5,-199651.10837438423,203
493076,8.97910208230419e-6,1.4758524135278458e-5,-199646.3918128655,171
493077,1.1228877102932295e-5,1.8238176167184797e-5,-199565.62820512822,156
493078,7.899210072410071e-6,1.025897409404145e-5,-199596.03726708074,161
493079,4.329567039688058e-6,5.729427052520222e-6,-199631.048,125
493080,1.559844014298699e-5,2.4227577222088117e-5,-199610.95,240
493081,1.0409958995424445e-4,1.3636636325002098e-4,-199732.57594936708,790
493082,2.9837016273508415e-5,3.8076192349034906e-5,-199906.29971181558,347
493083,2.0907909191646166e-5,3.258674129869108e-5,-199993.14179104476,268
493084,5.4194580496788056e-6,8.339166076443045e-6,-200064.0,171
493085,5.859414053711778e-6,8.37916207680968e-6,-200085.8188976378,127
493086,2.3397660214480515e-6,3.289671030155593e-6,-200068.35294117648,102
493087,7.989201073235003e-6,4.709529043171072e-6,-200063.84545454546,110
493088,3.7296270341885617e-6,4.489551041154593e-6,-200065.20869565217,115
493089,4.219578038679815e-6,4.799520043995999e-6,-200095.3,110
493090,6.449355059119609e-6,9.549045087533699e-6,-200127.89444444445,180
493091,1.586841314546176e-5,1.9888011182308406e-5,-200143.5,190
493092,1.74782521602187e-5,2.1957804201281662e-5,-200165.88744588743,231
493093,2.8297170259393e-5,3.897610235728417e-5,-200186.51041666666,384
493094,5.5374462507521575e-5,6.66233376106641e-5,-200054.21647509577,522
493095,1.7658234161855094e-5,2.7037296247822076e-5,-200026.0228136882,263
493096,1.3898610127397968e-5,2.2357764204936653e-5,-200008.38418079095,177
493097,1.1168883102379503e-5,1.7288271158470146e-5,-200019.9375,176
493098,8.579142078642847e-6,1.2078792110723261e-5,-200065.89175257733,194
493099,4.6895310429870495e-6,7.2192780661751845e-6,-200018.9836065574,122
493100,6.299370057742613e-6,9.759024089454977e-6,-199975.60683760684,117
493101,4.639536042522358e-6,7.379262067633186e-6,-200011.51127819548,133
493102,4.079592037393754e-6,5.989401054899787e-6,-200014.88043478262,92
493103,2.2397760205314674e-6,2.7597240252977006e-6,-200028.17777777778,90
493104,3.0296970277724774e-6,4.449555040787957e-6,-200042.27272727274,143
493105,7.249275066452283e-6,1.0988901100732504e-5,-200053.67567567568,185
493106,1.2868713117964268e-5,1.9108089175159072e-5,-200066.19213973798,229
493107,2.479752022731267e-6,3.5996400329970003e-6,-200047.87,100
493108,2.6197380240144842e-6,3.6596340335469497e-6,-200047.03896103895,77
493109,6.089391055815659e-6,8.809119080746728e-6,-200038.3831775701,107
493110,3.249675029783986e-6,5.269473048298965e-6,-200012.93893129771,131
493111,3.92960703601817e-6,5.109489046832429e-6,-199982.76623376625,154
493112,2.579742023645721e-6,3.7596240344614035e-6,-199988.83625730994,171
493113,2.059794018881617e-6,2.7197280249310662e-6,-200011.95,100
493114,1.2098790110906588e-6,1.7898210164068411e-6,-200027.22093023255,86
493115,1.0198980093477295e-6,1.2098790110906582e-6,-200012.36904761905,84
493116,2.282771720924955e-5,3.15168482888971e-5,-200013.73577235773,246
493117,4.99950004582916e-6,6.6093390605861555e-6,-200081.95,160
493118,4.9795020456458466e-6,6.739326061777713e-6,-200060.2108433735,166
493119,1.6798320153986006e-6,2.639736024197801e-6,-200050.57647058825,85
493120,1.2498750114572923e-6,1.4698530134737752e-6,-200049.87735849057,106
493121,2.589741023739509e-6,3.679632033730269e-6,-200065.63157894736,114
493122,1.299870011915584e-6,1.7398260159485504e-6,-200060.89423076922,104
493123,2.129787019523225e-6,2.6097390239228254e-6,-200070.02409638555,83
493124,6.2093790569198215e-6,6.51934805976123e-6,-200050.9375,48
493125,4.00959903675499e-6,5.409459049587154e-6,-200028.9836065574,61
493126,1.1298870103573914e-6,1.8498150169567916e-6,-200042.06976744186,43
493127,5.699430052245249e-7,6.999300064160834e-7,-200060.0,54
493128,1.0998900100824165e-7,1.0998900100824165e-7,-200052.13953488372,43
493129,3.2996700302472486e-7,4.699530043079415e-7,-200057.5,46
493130,5.599440051328669e-7,5.999400054995001e-7,-200064.20967741936,62
493131,2.7997200256643327e-7,3.599640032996999e-7,-200060.693877551,49
493132,2.899710026580917e-7,4.2995700394130824e-7,-200066.59574468085,47
493133,1.360863912474699e-5,1.605839414720328e-5,-200055.1,30
493134,7.7992200714935e-7,8.599140078826167e-7,-200043.90384615384,52
493135,3.699630033913583e-7,5.09949004674575e-7,-200045.6896551724,58
493136,4.6995300430794173e-7,6.899310063244249e-7,-200049.75,56
493137,1.3998600128321669e-7,9.999000091658332e-8,-200062.40425531915,47
493138,1.4098590129238254e-6,1.629837014940308e-6,-200058.73913043478,46
493139,2.6997300247477495e-7,3.099690028414083e-7,-200049.63636363635,44
493140,4.5995400421628325e-7,6.999300064160835e-7,-200063.431372549,51
493141,8.799120080659334e-7,9.799020089825167e-7,-200057.20833333334,48
493142,2.2197780203481507e-6,3.4496550316221264e-6,-200060.07777777777,90
493143,4.729527043354388e-6,4.349565039871374e-6,-200038.56470588237,85
493144,2.0797920190649335e-6,2.7397260251143834e-6,-200027.65,80
493145,6.399360058661334e-7,7.39926006782717e-7,-200034.6913580247,81
493146,1.4328567131346387e-5,1.4828517135929305e-5,-200037.1590909091,44
493147,1.2328767113011882e-5,1.8648135170936393e-5,-199972.83823529413,136
493148,1.509849013837568e-6,2.049795018784275e-6,-200003.19047619047,126
493149,1.7098290156671806e-6,2.0397960186911947e-6,-199981.97826086957,46
493150,7.799220071493503e-7,8.399160076993002e-7,-199964.5052631579,95
493151,1.8298170167720563e-6,2.1297870195203844e-6,-199985.94267515923,157
493152,1.2998700119134526e-6,1.3798620126452976e-6,-199992.87248322146,149
493153,2.149785019706543e-6,1.749825016040208e-6,-200018.95205479453,146
493154,1.219878011182317e-6,1.8998100174150832e-6,-200031.15094339623,53
493155,6.399360058661337e-7,6.199380056828168e-7,-200027.1568627451,51
493156,2.899710026580917e-7,4.299570039413082e-7,-200036.13725490196,51
493157,1.659834015215283e-6,2.3297670213563915e-6,-200049.5909090909,44
493158,8.099190074243235e-6,1.193880610944005e-5,-200133.08333333334,132
493159,4.119588037763234e-6,5.099490046745749e-6,-200122.9776119403,134
493160,2.9997000274974996e-7,2.899710026580916e-7,-200124.7380952381,42
493161,9.499050087075418e-7,1.049895009624125e-6,-200105.90384615384,52
493162,2.3197680212647344e-6,3.5596440326303677e-6,-200082.09302325582,86
493163,6.599340060494503e-7,6.399360058661336e-7,-200097.7619047619,63
493164,7.669233070301937e-6,9.669033088633608e-6,-200148.00952380954,210
493165,3.389661031072178e-6,4.589541042071173e-6,-200160.77966101695,118
493166,2.599740023831168e-6,3.7996200348301677e-6,-200116.65094339623,106
493167,1.7748225162689993e-5,2.4887511228127625e-5,-200053.7435897436,234
493168,2.6897310246560932e-6,3.2296770296056423e-6,-200038.59375,96
493169,3.949605036205043e-6,5.949405054536704e-6,-200037.8527131783,129
493170,3.2696730299665918e-6,4.3895610402287705e-6,-200008.0744680851,94
493171,2.599740023827615e-6,3.6096390330851062e-6,-200003.34523809524,84
493172,4.8995100449111574e-6,7.219278066175181e-6,-199978.0101010101,99
