# premium-accumulators.csv — SFPM getAccountPremium X64 accumulators, one row per scheduled read
# built: 2026-07-21   RPC: https://mainnet.base.org (failover https://base.drpc.org)
# SFPM: 0x8dcAa08cF298F8b4830FAf56d47930981AdE33af   vegoid: 8
# schedule rows: 8910   block range: 43781657..48157721
# accumulators and liquidity are DECIMAL Integer strings (they exceed 2^63; a Double round-trip would lose precision)
# columns: token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
1,-201120,-198720,43963927,1,-200275,170629241238925839230,327835613050,1139490236,2658810548,492977,
0,-201120,-198720,43963927,1,-200275,65934476480886207121,107418062205,1139490236,2658810548,492977,
1,-201120,-198720,43965727,1,-200275,171447908133587930743,327835613050,1139490236,2658810548,492978,
0,-201120,-198720,43965727,1,-200275,66753143375548298634,107418062205,1139490236,2658810548,492978,
1,-201120,-198720,43967527,1,-200275,171576174384307790373,327835613050,1139490236,2658810548,492979,
0,-201120,-198720,43967527,1,-200275,66881409626268158264,107418062205,1139490236,2658810548,492979,
1,-201120,-198720,43969327,1,-200275,171863177597804747241,327835613050,1139490236,2658810548,492980,
0,-201120,-198720,43969327,1,-200275,67168412839765115132,107418062205,1139490236,2658810548,492980,
1,-201120,-198720,43971127,1,-200275,172305789849145920527,327835613050,1139490236,2658810548,492981,
0,-201120,-198720,43971127,1,-200275,67611025091106288418,107418062205,1139490236,2658810548,492981,
1,-201120,-198720,43972927,1,-200275,173832509604647078741,327835613050,1139490236,2658810548,492982,
0,-201120,-198720,43972927,1,-200275,69137744846607446632,107418062205,1139490236,2658810548,492982,
1,-201120,-198720,43974727,1,-200275,174575525643731879320,327835613050,1139490236,2658810548,492983,
0,-201120,-198720,43974727,1,-200275,69880760885692247211,107418062205,1139490236,2658810548,492983,
1,-201120,-198720,43976527,1,-200341,176877205362285263607,348745879468,1139490236,2658810548,492984,
0,-201120,-198720,43976527,1,-200341,72182440604245631498,128328328623,1139490236,2658810548,492984,
1,-201120,-198720,43978327,1,-200341,177590170630193291893,348745879468,1139490236,2658810548,492985,
0,-201120,-198720,43978327,1,-200341,72895405872153659784,128328328623,1139490236,2658810548,492985,
1,-201120,-198720,43980127,1,-200341,178338037328330322787,348745879468,1139490236,2658810548,492986,
0,-201120,-198720,43980127,1,-200341,73643272570290690678,128328328623,1139490236,2658810548,492986,
1,-201120,-198720,43981927,1,-200341,178714309689345181405,348745879468,1139490236,2658810548,492987,
0,-201120,-198720,43981927,1,-200341,74019544931305549296,128328328623,1139490236,2658810548,492987,
1,-201120,-198720,43983727,1,-200341,179524216227891605753,348745879468,1139490236,2658810548,492988,
0,-201120,-198720,43983727,1,-200341,74829451469851973644,128328328623,1139490236,2658810548,492988,
1,-201120,-198720,43985527,1,-200341,180155392389694914230,348745879468,1139490236,2658810548,492989,
0,-201120,-198720,43985527,1,-200341,75460627631655282121,128328328623,1139490236,2658810548,492989,
1,-201120,-198720,43987327,1,-200341,180946454010658308414,348745879468,1139490236,2658810548,492990,
0,-201120,-198720,43987327,1,-200341,76251689252618676305,128328328623,1139490236,2658810548,492990,
1,-201120,-198720,43989127,1,-200341,181557728115449576895,348745879468,1139490236,2658810548,492991,
0,-201120,-198720,43989127,1,-200341,76862963357409944786,128328328623,1139490236,2658810548,492991,
1,-201120,-198720,43990927,1,-200341,182905789174600898883,348745879468,1139490236,2658810548,492992,
0,-201120,-198720,43990927,1,-200341,78211024416561266774,128328328623,1139490236,2658810548,492992,
1,-201120,-198720,43992727,1,-200341,183186773409730073052,348745879468,1139490236,2658810548,492993,
0,-201120,-198720,43992727,1,-200341,78492008651690440943,128328328623,1139490236,2658810548,492993,
1,-201120,-198720,43994527,1,-200341,183990434574454210993,348745879468,1139490236,2658810548,492994,
0,-201120,-198720,43994527,1,-200341,79295669816414578884,128328328623,1139490236,2658810548,492994,
1,-201120,-198720,43996327,1,-200341,184573013897025357817,348745879468,1139490236,2658810548,492995,
0,-201120,-198720,43996327,1,-200341,79878249138985725708,128328328623,1139490236,2658810548,492995,
1,-201120,-198720,43998127,1,-200341,185195992230700166281,348745879468,1139490236,2658810548,492996,
0,-201120,-198720,43998127,1,-200341,80501227472660534172,128328328623,1139490236,2658810548,492996,
1,-201120,-198720,43999927,1,-200341,185710644761916297885,348745879468,1139490236,2658810548,492997,
0,-201120,-198720,43999927,1,-200341,81015880003876665776,128328328623,1139490236,2658810548,492997,
1,-201120,-198720,44001727,1,-200341,187898803710511942258,369656145885,1139490236,2658810548,492998,
0,-201120,-198720,44001727,1,-200341,83204038952472310149,149238595040,1139490236,2658810548,492998,
1,-201120,-198720,44003527,1,-200341,189663302030438972689,369656145885,1139490236,2658810548,492999,
0,-201120,-198720,44003527,1,-200341,84968537272399340580,149238595040,1139490236,2658810548,492999,
1,-201120,-198720,44005327,1,-200341,191278157931582459649,369656145885,1139490236,2658810548,493000,
0,-201120,-198720,44005327,1,-200341,86583393173542827540,149238595040,1139490236,2658810548,493000,
1,-201120,-198720,44007127,1,-200341,192034489189206413878,369656145885,1139490236,2658810548,493001,
0,-201120,-198720,44007127,1,-200341,87339724431166781769,149238595040,1139490236,2658810548,493001,
1,-201120,-198720,44008927,1,-200341,193105923420006266478,369656145885,1139490236,2658810548,493002,
0,-201120,-198720,44008927,1,-200341,88411158661966634369,149238595040,1139490236,2658810548,493002,
1,-201120,-198720,44010727,1,-200341,193829853738879971436,369656145885,1139490236,2658810548,493003,
0,-201120,-198720,44010727,1,-200341,89135088980840339327,149238595040,1139490236,2658810548,493003,
1,-201120,-198720,44012527,1,-200341,194753970563419257131,369656145885,1139490236,2658810548,493004,
0,-201120,-198720,44012527,1,-200341,90059205805379625022,149238595040,1139490236,2658810548,493004,
1,-201120,-198720,44014327,1,-200341,195490675319522022925,369656145885,1139490236,2658810548,493005,
